station_id,station_name,longitude,latitude,elevation,start_date,end_date
azAAHA,Ahakahv Preserve  Arizona,-114.3275,34.1311111111,109.728,2010-07-01,2015-12-31
azAALP,Alpine  Arizona,-109.122222222,33.8416666667,2447.8488,2000-02-01,2015-12-31
azABAR,Baragan Wash     Arizona,-113.449444444,32.9675,147.828,1988-12-01,1997-01-31
azABCL,Buckskin Lo  Arizona,-110.608333333,36.2680555556,2255.52,2002-09-01,2007-04-30
azABCR,Beaver Creek     Arizona,-111.7,34.6666666667,2042.16,1986-01-01,1989-01-31
azABEL,Belmont  Arizona,-112.922777778,33.6741666667,565.404,2010-11-01,2015-11-30
azABLA,Black Hills      Arizona,-109.950555556,33.0866666667,1005.84,1988-12-01,2015-11-30
azABRK,Black Rock              Arizona,-113.756666667,36.7944444444,2157.984,1992-05-01,2015-12-31
azABUC,Buckskin Mountain       Arizona,-112.199722222,36.9305555556,1950.72,1994-09-01,2015-12-31
azACAA,Carr  Arizona,-110.28,31.445,1645.92,1999-06-01,2015-11-30
azACAN,Bright Angel      Arizona,-112.062222222,36.2047222222,2479.2432,1995-06-01,2015-12-31
azACAR,Cargodera             Arizona,-110.849166667,32.4408333333,1461.516,1990-03-01,1998-11-30
azACBL,Cibola  Arizona,-114.693333333,33.3038888889,76.2,2004-12-01,2015-12-31
azACBX,Chuck Box  Arizona,-110.6725,34.2497222222,2278.38,2002-09-01,2007-04-30
azACHD,Chediski Peak  Arizona,-110.663611111,34.1841666667,2232.0504,2002-09-01,2007-04-30
azACHE,Cherry Arizona,-112.048055556,34.5963888889,1554.48,1998-02-01,2015-12-31
azACHR,Chiricahua         Arizona,-109.35,32.0,1645.92,1995-01-01,2015-12-31
azACIB,Cibecue Ridge  Arizona,-110.368333333,34.0683333333,2049.78,2002-09-01,2007-04-30
azACNL,Canelo  Arizona,-110.519166667,31.5497222222,1410.9192,2005-12-01,2015-12-31
azACO1,Coconino Micro #1      Arizona,-111.675,35.1452777778,1371.6,1995-06-01,1996-01-31
azACO2,Coconini Micro #2      Arizona,-111.903888889,35.0319444444,0.0,1995-06-01,1996-01-31
azACOL,Columbine              Arizona,-109.913888889,32.7038888889,2902.0008,1991-12-01,2015-12-31
azACOR,Coronado Portable #1     Arizona,-110.4,32.2,944.88,1995-06-01,1996-03-31
azACPB,Copper Basin     Arizona,-112.55,34.4833333333,1609.344,1986-03-01,1987-10-31
azACRO,Crown King             Arizona,-112.333333333,34.2083333333,1798.32,1995-02-01,2015-12-31
azACRR,Carrizo  Arizona,-110.533611111,34.2075,2082.3936,2002-08-01,2007-05-31
azACSG,Casa Grande  Arizona,-111.532777778,32.9919444444,430.9872,2014-04-01,2015-10-31
azACTT,Cottonwood Ridge  Arizona,-110.119166667,34.1997222222,2090.928,2002-07-01,2006-06-30
azADEE,Deer Springs  Arizona,-110.419166667,34.2980555556,2197.9128,2002-08-01,2007-04-30
azADOS,Dos Cabezas             Arizona,-109.569166667,32.1883333333,2164.08,1994-08-01,1995-06-30
azADRL,Dry Lake  Arizona,-109.833055556,33.3597222222,2264.0544,1997-10-01,2015-12-31
azADRY,Dry Park             Arizona,-112.24,36.45,2653.5888,1996-05-01,2015-12-31
azAEMP,Empire                  Arizona,-110.634722222,31.7805555556,1417.32,1988-12-01,2015-11-30
azAFAP,Mountain Lion  Arizona,-109.705833333,33.7011111111,1671.2184,2001-11-01,2015-07-31
azAFLG,Flagstaff  Arizona,-111.675,35.145,2133.6,1986-01-01,2015-12-31
azAFOR,Fort Apache RX#1  Arizona,-109.860833333,34.0722222222,1645.92,2002-06-01,2009-08-31
azAFOU,Four Springs             Arizona,-112.042222222,36.7938888889,1999.488,1994-09-01,2015-12-31
azAFRA,Frazier Wells  Arizona,-113.055,35.8455555556,2063.496,1999-11-01,2015-12-31
azAFRN,Francis Mtn       Arizona,-112.6,34.4833333333,2167.128,1986-03-01,1987-10-31
azAFYM,Fort Yuma  Arizona,-114.634722222,32.6536111111,56.388,2010-11-01,2015-12-31
azAGIL,Gila River  Arizona,-111.7425,32.0819444444,333.1464,2004-12-01,2014-04-30
azAGLO,Globe                Arizona,-110.651944444,33.3502777778,1112.52,1990-03-01,2015-12-31
azAGOO,Goodwin Mesa             Arizona,-113.3,34.75,1280.16,1985-01-01,2015-11-30
azAGRB,Greenbase  Arizona,-112.059722222,35.2741666667,2110.1304,2004-05-01,2015-12-31
azAGRE,Greer                 Arizona,-109.45,34.06,2499.36,1992-12-01,2015-12-31
azAGRS,Grasshopper  Arizona,-110.605555556,34.105,1947.672,2002-08-01,2007-04-30
azAGUN,Gunsight                Arizona,-112.583333333,36.7044444444,1609.344,1994-09-01,2015-12-31
azAGUT,Guthrie                  Arizona,-109.309166667,32.8819444444,1097.28,1985-07-01,2015-11-30
azAHAL,Haley Hills      Arizona,-112.170833333,32.9491666667,451.104,1988-12-01,1997-02-28
azAHAV,Havasu                   Arizona,-114.561666667,34.7872222222,144.78,1994-11-01,2015-12-31
azAHBR,Heber  Arizona,-110.564444444,34.3977777778,2022.348,2000-02-01,2015-12-31
azAHCA,Howard Canyon      Arizona,-109.57,32.195,1901.952,1996-02-01,1996-03-31
azAHIL,Hilltop  Arizona,-110.42,33.6183333333,1743.456,2000-11-01,2015-12-31
azAHJK,Happy Jack  Arizona,-111.342222222,34.6180555556,2070.5064,2010-06-01,2015-12-31
azAHOR,Horse Camp Canyon        Arizona,-110.496111111,32.9375,1231.392,1987-06-01,2015-12-31
azAHOU,Houserock                Arizona,-111.978055556,36.5644444444,1645.92,1994-09-01,2013-11-30
azAHPI,Hopi  Arizona,-110.206944444,35.8102777778,1885.4928,2002-08-01,2015-12-31
azAHPK,Hopkins  Arizona,-110.88,31.6752777778,2170.176,2001-10-01,2015-12-31
azAHUM,Humbug Creek            Arizona,-112.300555556,34.1163888889,1600.2,1985-07-01,2015-12-31
azAHUR,Hurricane               Arizona,-113.207222222,36.6991666667,1659.636,1994-09-01,2015-12-31
azAIRO,Iron Springs          Arizona,-112.501944444,34.5852777778,1804.416,1986-01-01,2015-12-31
azAJDC,JD Cabin  Arizona,-112.058333333,35.1397222222,2072.64,2001-11-01,2004-05-31
azAJUM,Jump-off Ridge  Arizona,-110.3425,34.2236111111,2161.032,2002-09-01,2006-10-31
azAJUR,Juniper Ridge  Arizona,-110.201111111,34.2327777778,2109.216,2002-08-01,2007-04-30
azALAK,Lakeside              Arizona,-109.98,34.16,2133.6,1986-01-01,2015-12-31
azALBE,Lindbergh Hill    Arizona,-112.079444444,36.2858333333,2682.24,1992-07-01,2015-12-31
azALIM,Limestone Canyon      Arizona,-110.273611111,34.1788888889,2072.64,1985-05-01,2015-12-31
azAMES,Mescal                  Arizona,-110.676111111,33.1413888889,1280.16,1995-06-01,1996-04-30
azAMOL,Mormon Lake  Arizona,-111.445,34.9066666667,2255.52,1996-10-01,2015-12-31
azAMOS,Moss Basin               Arizona,-113.8925,35.0336111111,1804.416,1992-06-01,2015-12-31
azAMTL,Mount Logan              Arizona,-113.199166667,36.3530555556,2318.004,1985-01-01,2015-12-31
azAMUL,Muleshoe Ranch          Arizona,-110.271944444,32.4038888889,1389.888,1988-04-01,2015-12-31
azAMUS,Music Mountain Arizona,-113.793888889,35.6147222222,1652.016,1996-03-01,2015-12-31
azANAV,Navajo Monument  Arizona,-110.541111111,36.6769444444,2218.6392,2012-05-01,2015-12-31
azANEV,Nevershine  Arizona,-113.888611111,36.2475,659.892,2013-12-01,2015-10-31
azANF2,PORTABLEKNF2       Arizona,-112.215555556,35.2383333333,2438.4,1995-06-01,1996-04-30
azANIX,Nixon Flats              Arizona,-113.152222222,36.39,1981.2,1992-01-01,2015-12-31
azANOO,Noon Creek  Arizona,-109.788055556,32.6677777778,1501.14,2001-07-01,2015-11-30
azANWH,North White River      Arizona,-109.964166667,33.8366666667,1597.152,1992-10-01,2000-03-31
azAOAK,Oak Creek              Arizona,-111.751666667,34.9416666667,1500.8352,1992-12-01,2015-12-31
azAOAT,Oatman   Arizona,-113.138611111,33.0497222222,518.16,2008-06-01,2015-12-31
azAOLA,Olaf Knolls             Arizona,-113.816111111,36.5072222222,883.92,1985-05-01,2015-12-31
azAOWS,O W Saddle  Arizona,-110.779444444,36.2722222222,2225.04,2002-09-01,2007-04-30
azAPAR,Paria Point              Arizona,-111.821944444,36.7277777778,2205.228,1994-09-01,2015-12-31
azAPAY,Payson                 Arizona,-111.302777778,34.2430555556,1516.38,1992-05-01,2015-11-30
azAPIN,Piney Hill  Arizona,-109.1675,35.7611111111,2469.4896,2003-11-01,2015-12-31
azAPLE,Pleasant Valley   Arizona,-110.933333333,34.0933333333,1539.24,1997-04-01,2015-12-31
azAPLZ,Pleasant Valley (2)  Arizona,-110.941388889,34.0977777778,1524.0,2005-09-01,2008-03-31
azAPNE,Pine  Arizona,-111.455555556,34.3716666667,1641.9576,2013-01-01,2015-12-31
azAPRO,Promontory             Arizona,-111.025,34.3694444444,2377.44,1992-12-01,2015-12-31
azARAI,Rainbow  Arizona,-110.119166667,34.1997222222,1554.48,1999-06-01,2002-07-31
azARED,Red Lake  Arizona,-110.789166667,34.1813888889,1889.76,2004-09-01,2015-12-31
azARIN,Rincon                  Arizona,-110.548055556,32.2055555556,2511.552,1994-06-01,2015-12-31
azAROB,Robinson Tank           Arizona,-112.841388889,36.4705555556,1694.688,1986-04-01,2013-11-30
azAROO,Roosevelt             Arizona,-111.133333333,33.655,664.464,1992-01-01,2009-01-31
azARUC,Rucker  Arizona,-109.348611111,31.7611111111,1737.36,2000-05-01,2015-12-31
azASAF,Safford  Arizona,-110.668333333,31.7652777778,1466.088,2007-06-01,2009-06-30
azASAG,Saguaro                 Arizona,-110.813333333,32.3166666667,944.88,1995-06-01,2015-12-31
azASAN,Santa Maria River       Arizona,-113.349444444,34.2955555556,426.72,1994-05-01,1997-02-28
azASAS,Sasabe               Arizona,-111.45,31.6908333333,1066.8,1992-03-01,2015-11-30
azASCA,San Carlos #1  Arizona,-110.456944444,33.3716666667,846.4296,2002-01-01,2015-03-31
azASES,Selles  Arizona,-111.8975,31.91,721.1568,2002-03-01,2015-12-31
azASHA,Shadow Rim  Arizona,-111.283055556,34.4058333333,1689.5064,2005-12-01,2015-12-31
azASMI,Smith Peak       Arizona,-113.347222222,34.1158333333,762.0,1988-12-01,2015-12-31
azASOL,Sollers    Arizona,-110.711666667,32.4033333333,2377.44,1999-04-01,2015-12-31
azASP1,Arizona Strip Portable L1 Arizona,-113.7,36.15,1828.8,1987-07-01,1990-06-30
azASP2,Arizona Strip Portable L2 Arizona,-113.885277778,36.9827777778,720.852,1990-06-01,1992-04-30
azASTA,Stanton                 Arizona,-112.733333333,34.1666666667,1097.28,1985-01-01,2015-12-31
azASTH,Stray Horse  Arizona,-109.316944444,33.5405555556,2139.696,2002-10-01,2015-12-31
azASTZ,Stray Horse (2) Arizona,-109.317222222,33.5525,2412.492,2005-09-01,2006-04-30
azASUN,Sunset Point            Arizona,-112.141666667,34.1952777778,902.208,1994-05-01,2015-11-30
azAT21,Tonto P#2 (Cherry Creek)  Arizona,-110.901111111,33.8894444444,1495.044,2001-08-01,2006-06-30
azATON,Tonto Basin  Arizona,-111.313333333,33.8686111111,735.7872,2005-12-01,2015-12-31
azATRA,Trail Cabin           Arizona,-109.368333333,33.2666666667,1913.8392,1992-11-01,2015-12-31
azATRU,Truxton Canyon  Arizona,-113.794166667,35.7825,1630.68,2002-08-01,2015-12-31
azATUS,Tusayan                Arizona,-112.12,35.99,2042.16,1986-01-01,2015-12-31
azATWE,Tweeds Point            Arizona,-113.731944444,36.5819444444,1584.96,1985-01-01,2015-12-31
azATWI,Twin West  Arizona,-113.633888889,36.1005555556,1809.2928,1999-05-01,2005-11-30
azAUNI,Union Pass             Arizona,-114.374722222,35.2247222222,1072.896,1994-05-01,2015-12-31
azAVER,Verde                 Arizona,-111.849166667,34.5538888889,944.88,1993-11-01,2015-12-31
azAWAR,Warm Springs Canyon     Arizona,-112.23,36.7,2441.448,1986-05-01,2015-12-31
azAWUP,Wupatki SW  Arizona,-111.541666667,35.5416666667,1724.5584,2004-12-01,2012-07-31
azAYEL,Yellow John Mtn  Arizona,-113.541666667,36.1541666667,1877.568,1987-12-01,2015-12-31
caCABS,Arbuckle Basin California,-122.833333333,40.3983333333,579.12,1995-01-01,2015-12-31
caCACT,Acton         California,-118.2,34.4458333333,792.48,1995-01-01,2015-12-31
caCAGD,Arroyo Grande California,-120.391944444,35.1791666667,319.4304,1997-02-01,2015-12-31
caCAHL,Angelus Hill  California,-116.855,33.8080555556,1227.7344,2008-10-01,2010-09-30
caCALD,Alder Springs       California,-122.723611111,39.6513888889,1310.64,1994-04-01,2015-12-31
caCALP,Alpine  California,-116.739166667,32.8336111111,622.0968,2001-04-01,2015-12-31
caCALT,Los Altos California,-122.147222222,37.3580555556,196.596,1998-02-01,2015-12-31
caCAMM,Ammo Dump  California,-117.285555556,33.3813888889,325.5264,2001-06-01,2013-01-31
caCANA,Anacapa Island  California,-119.359722222,34.0158333333,84.4296,2004-01-01,2015-12-31
caCANZ,Anza California,-116.673055556,33.555,1194.816,1995-01-01,2015-12-31
caCAPP,Apple Valley  California,-117.168333333,34.5925,963.7776,2004-11-01,2015-12-31
caCAPT,Alder Point California,-123.590277778,40.1866666667,281.3304,1991-07-01,2015-12-31
caCARR,Arroyo Seco (Mt. Diablo) California,-121.491666667,36.23,298.704,1996-05-01,2015-12-31
caCASC,Ash Creek  California,-121.979444444,41.2769444444,975.36,1989-11-01,2015-12-31
caCASH,Ash Valley          California,-120.686111111,41.0519444444,1554.48,1991-10-01,2014-02-28
caCASM,Ash Mountain  California,-118.825277778,36.4913888889,527.304,2004-12-01,2015-12-31
caCATL,Atlas Peak  California,-122.264722222,38.4747222222,589.4832,2005-12-01,2015-12-31
caCATT,Altamont  California,-121.609444444,37.6930555556,437.6928,2005-12-01,2015-12-31
caCBAC,Backbone  California,-123.142222222,40.8891666667,1432.56,2000-10-01,2015-12-31
caCBAK,Bakersfield Portable  California,-118.498333333,35.7213888889,960.12,1993-09-01,2006-12-31
caCBAL,Bald Mtn Loc       California,-120.697222222,38.9055555556,1426.464,1989-01-01,2015-12-31
caCBAN,Banner Queen  California,-116.530833333,33.035,1127.76,1998-05-01,2001-11-30
caCBAR,Barnaby California,-122.702222222,38.0280555556,377.952,1997-01-01,2015-12-31
caCBAT,Batterson  California,-119.508333333,37.2319444444,963.168,1999-09-01,2015-06-30
caCBB1,Burney Basin #1  California,-121.493611111,41.1669444444,1209.4464,2010-07-01,2010-10-31
caCBB2,Burney Basin #2  California,-121.645,40.905,951.5856,2010-07-01,2010-10-31
caCBB3,Burney Basin #3  California,-121.415,40.8088888889,1561.1856,2010-07-01,2010-10-31
caCBB4,Burney Basin #4  California,-121.49,41.0069444444,1153.0584,2010-07-01,2010-10-31
caCBB5,Burney Basin #5  California,-121.772222222,40.8747222222,1612.392,2010-07-01,2010-10-31
caCBBR,Big Bar              California,-123.233333333,40.7333333333,457.2,1989-11-01,2015-12-31
caCBCN,Bell Canyon California,-117.591666667,33.5416666667,213.36,1993-04-01,2015-12-31
caCBDT,Bernadette  California,-116.778611111,33.6430555556,1342.9488,2008-10-01,2010-09-30
caCBDY,Bradley  California,-120.803055556,35.8644444444,163.6776,2002-12-01,2015-12-31
caCBEA,Bear Peak           California,-118.051666667,35.8841666667,2507.8944,1991-10-01,2015-12-31
caCBEC,Beckwourth         California,-120.56,39.9383333333,1767.84,1995-06-01,1996-04-30
caCBEN,Benton             California,-118.477777778,37.8430555556,1661.16,1994-05-01,2015-12-31
caCBEU,Beaumont  California,-116.95,33.9305555556,793.6992,2003-08-01,2015-12-31
caCBEV,Beverly Hills California,-118.412222222,34.125,384.048,1997-11-01,2015-12-31
caCBEY,Bear Valley  California,-118.625,35.1397222222,1219.2,2002-03-01,2009-01-31
caCBGR,Bangor California,-121.386111111,39.3975,244.7544,1990-05-01,2015-12-31
caCBIH,Big Hill California,-123.635833333,41.0975,1088.136,1997-03-01,2015-03-31
caCBIP,Big Pines  California,-117.691944444,34.3788888889,2108.3016,2002-11-01,2015-12-31
caCBIR,Big Rock  California,-122.57,38.0394444444,457.2,2003-09-01,2015-12-31
caCBKD,Black Diamond California,-121.884444444,37.95,487.68,1994-04-01,2015-12-31
caCBKR,Baker California,-122.486944444,40.2788888889,213.36,1990-05-01,1997-12-31
caCBLD,Blue Door           California,-120.3375,41.0547222222,1711.452,1991-10-01,2015-12-31
caCBLM,Blacks Mountain  California,-121.178888889,40.7244444444,1745.8944,2011-12-01,2015-12-31
caCBLQ,Blue Ridge (KNF)  California,-123.1875,41.2694444444,1815.3888,2001-05-01,2015-12-31
caCBLR,Blue Ridge            California,-123.142222222,40.8891666667,1219.2,1990-09-01,2005-06-30
caCBLT,Ben Bolt California,-120.933611111,38.5908333333,275.844,1990-05-01,2015-12-31
caCBLV,Boulevard  California,-116.271666667,32.6622222222,995.7816,2005-12-01,2015-12-31
caCBMN,Blacks Mtn - PSW California,-121.118333333,40.7313888889,1844.04,1996-12-01,1998-02-28
caCBMO,Blue Mountain  California,-120.863055556,41.8297222222,1749.552,2011-08-01,2015-11-30
caCBMP,Bald Mountain PAL California,-120.091944444,38.1386111111,1728.216,2008-09-01,2009-09-30
caCBMT,Brush Mountain  California,-123.668611111,40.9155555556,1215.5424,2005-12-01,2015-12-31
caCBMX,Blue Max  California,-117.971944444,35.7097222222,1630.68,2005-12-01,2015-12-31
caCBNL,Ben Lomond California,-122.17,37.1316666667,801.624,1998-06-01,2015-12-31
caCBNR,Banner Road  California,-120.489722222,38.2844444444,854.3544,2014-07-01,2015-12-31
caCBOG,Bogard R.S.        California,-121.083055556,40.5980555556,1722.12,1992-07-01,2015-12-31
caCBOL,Bolam  California,-122.208611111,41.5341666667,1357.2744,2007-03-01,2015-12-31
caCBOO,Boonville California,-123.348611111,38.9875,196.2912,1990-05-01,2015-12-31
caCBOR,Boron                California,-117.585,35.0766666667,881.7864,1991-09-01,1996-12-31
caCBPI,Big Pine Flat  California,-117.013055556,34.3194444444,2091.2328,2001-12-01,2015-12-31
caCBR4,Bridgeport 4NW  California,-119.289166667,38.2719444444,2026.92,2002-11-01,2015-12-31
caCBRA,Branch Mountain California,-120.083333333,35.1888888889,1149.096,1996-05-01,2015-11-30
caCBRD,Bridgeport  California,-119.289166667,38.2719444444,1975.104,2002-06-01,2006-06-30
caCBRE,Breckenridge  California,-118.583888889,35.4505555556,2286.3048,2004-01-01,2015-12-31
caCBRF,Bear Flat  California,-120.313333333,41.295,1889.76,2003-07-01,2015-12-31
caCBRI,Briones California,-122.117777778,37.9441666667,441.96,1994-04-01,2015-12-31
caCBRK,Blackrock California,-118.260277778,36.0930555556,2499.36,1999-07-01,2015-12-31
caCBRN,Baron  California,-120.024166667,38.8541666667,1904.3904,2011-07-01,2015-12-31
caCBRO,Brooks California,-122.144722222,38.7383333333,107.8992,1990-05-01,2015-12-31
caCBRR,Burro Canyon (BAER)  California,-117.838055556,34.2455555556,646.4808,2003-01-01,2006-05-31
caCBRS,Bouquet Reservoir  California,-118.403888889,34.5813888889,1024.128,2002-11-01,2003-07-31
caCBRT,Barrett  California,-116.699444444,32.6675,729.996,2005-12-01,2015-12-31
caCBSP,Bird Springs Pass  California,-118.140277778,35.5358333333,2275.6368,2011-12-01,2015-12-31
caCBSR,Big Sur  California,-121.785,36.2355555556,137.16,2001-07-01,2015-12-31
caCBUC,Buck Meadows California,-120.0975,37.8233333333,975.36,1999-05-01,2012-06-30
caCBUL,Bull Flat           California,-120.113888889,40.4808333333,1339.596,1991-10-01,2015-12-31
caCBUR,Burns Canyon       California,-116.633888889,34.2102777778,1828.8,1991-09-01,2015-12-31
caCBUT,Butte Meadows California,-121.503888889,40.0788888889,1511.808,1990-05-01,2000-06-30
caCBUU,Buttercup  California,-114.883888889,32.7397222222,66.1416,2000-11-01,2015-12-31
caCBVR,Beaver Camp Loc      California,-120.325,38.4883333333,1524.0,1992-02-01,2015-12-31
caCBZE,Brazie Ranch California,-122.594166667,41.6852777778,914.4,1990-06-01,2015-12-31
